Births;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Belarus;113364;113364;113364;113364;113364;113364;113364;113364;113364;113364;113364;113414;113514;113664;113865;114118;114423;114781;115191;115655;116172;116744;117372;118054;118792;119587;120439;121348;122316;123342;124427;125571;126727;127892;129069;130256;131455;132664;133884;135116;136359;137614;138880;140157;141447;142748;144061;145386;146724;148074;149436;150820;152217;153627;155050;156487;157936;159399;160876;162366;163870;165389;166921;168467;170027;171603;173192;174797;176416;178050;179699;181364;183044;184688;186399;188126;189868;191579;193354;195145;196953;197423;197665;198162;198343;198822;199292;199444;199895;200056;200486;200908;201030;201429;201524;201901;202268;202321;203276;204232;205187;206144;206753;207706;208659;209612;210565;211475;212091;213039;213987;214921;215867;216812;217401;218340;219279;220215;221132;221680;222595;223507;224418;225326;226232;226743;227641;225337;222972;220544;217991;215438;212885;210332;207779;205226;202673;200120;197567;195014;192461;189908;187355;184802;182249;179696;177143;174590;172037;169484;166931;170330;176715;182273;187003;190892;193899;195994;197103;197084;195805;193168;189153;183898;177715;171069;164483;158432;153303;149340;146635;145089;144361;144168;144417;145151;146493;148476;151004;153861;156772;159443;161585;162926;163253;162349;160085;156598;152085;146701;140587;133883;126835;119744;112911;106645;101184;96616;93006;90441;89001;88700;89366;90783;92776;95170;97813;100559;103243;105699;107785;109423;110638;111445;111815;111719
Belgium;108248;108736;109026;109519;109810;110306;110600;111099;111601;111897;112444;112766;113324;113697;114309;114734;115400;116094;116600;117350;117910;118716;119327;120187;121076;121766;122712;123454;124456;125253;121176;123510;125875;128271;130697;133154;134456;135771;137099;138436;139790;139325;138828;138297;137733;137137;136335;135499;134628;133721;132780;131243;129668;128055;132085;136160;140278;144439;148645;150108;151624;153145;154693;156266;157085;157920;158770;159647;160547;162893;165286;167751;170285;172710;182090;183031;184362;185171;186263;186944;187259;187870;188187;188846;188471;188055;187264;186868;186365;186982;187972;188516;189465;190035;190215;190400;191065;191380;191732;190828;189908;189827;189166;189179;189184;188712;188456;188570;187885;186364;185246;183749;182225;181443;180329;178127;175714;172518;169088;164892;161369;158573;156275;155251;154218;152654;151457;150168;148833;146851;146560,80952381;146270,619047619;145980,428571429;145690,238095238;145400,047619048;145109,857142857;144819,666666667;144529,476190476;144239,285714286;143949,095238095;143658,904761905;143368,714285714;143078,523809524;142788,333333333;142498,142857143;142207,952380952;141917,761904762;141627,571428571;141337,380952381;141047,19047619;140757;141827;143959;146076;148178;150257;152287;154232;156023;157538;158639;159190;159063;158194;156604;154374;151641;148617;145500;142417;139436;136559;133742;130985;128355;125953;123887;122208;120931;120044;119490;119176;118987;118834;118674;118530;118467;118547;118782;119122;119444;119591;119461;119013;118273;117317;116271;115310;114594;114222;114309;114939;116056;117561;119361;121303;123209;124933;126364;127449;128199;128692;129062;129411;129766;130118
Belize;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1177;1178;1178;1178;1178;1179;1179;1179;1180;1180;1180;1181;1181;1182;1182;1183;1183;1184;1184;1185;1185;1186;1186;1187;1187;1188;1189;1189;1190;1190;1191;1190;1190;1191;1191;1192;1192;1192;1192;1192;1191;1190;1189;1187;1186;1184;1182;1181;1181;1180;1181;1181;1182;1184;1185;1188;1191;1191;1196;1202;1209;1214;1224;1234;1247;1258;1272;1287;1300;1317;1334;1352;1372;1393;1414;1436;1460;1484;1509;1535;1562;1588;1613;1637;1660;1682;1707;1725;1743;1758;1772;1786;1800;1814;1827;1842;1862;1884;1906;1929;1952;1975;1998;2022;2046;2071;2096;2123;2149;2177;2204;2232;2260;2291;2360,28571428571;2429,57142857143;2498,85714285714;2568,14285714286;2637,42857142857;2706,71428571429;2776;2845,28571428571;2914,57142857143;2983,85714285714;3053,14285714286;3122,42857142857;3191,71428571429;3261;3330,28571428571;3399,57142857143;3468,85714285714;3538,14285714286;3607,42857142857;3676,71428571429;3746;3760;3791;3824;3861;3900;3942;3988;4037;4091;4151;4216;4289;4370;4458;4552;4653;4758;4865;4974;5085;5196;5309;5421;5532;5638;5736;5823;5901;5969;6031;6090;6153;6219;6291;6366;6441;6512;6575;6632;6681;6726;6768;6813;6862;6918;6988;7070;7161;7258;7349;7424;7473;7496;7494;7479;7463;7461;7485;7536;7617;7722;7840;7961;8078;8188
Benin;24785;24785;24785;24785;24785;24785;24825;24825;24825;24825;24825;24837;24860;24895;24942;25001;25072;25155;25292;25400;25522;25655;25802;25962;26134;26320;26520;26733;26960;27244;27499;27768;28039;28314;28590;28870;29152;29437;29725;30016;30358;30655;30955;31258;31563;31872;32183;32498;32816;33137;33461;33789;34176;34512;34851;35193;35539;35888;36240;36596;36955;37318;37685;38116;38491;38869;39250;39636;40025;40418;40815;41216;41621;42016;42497;42915;43336;43749;44179;44613;45051;45482;45928;46379;46824;47284;47826;48286;48760;49239;49723;50211;50704;51202;51705;52212;52725;53329;53852;54381;54915;55454;55990;56540;57095;57656;58222;58781;59453;60037;60627;61218;61820;62427;63040;63659;64284;64915;65549;66190;66944;67599;68260;68927;69601;70282;70969;71777;72479;73188;74005,5714285714;74823,1428571429;75640,7142857143;76458,2857142857;77275,8571428571;78093,4285714286;78911;79728,5714285714;80546,1428571429;81363,7142857143;82181,2857142857;82998,8571428571;83816,4285714286;84634;85451,5714285714;86269,1428571429;87086,7142857143;87904,2857142857;88721,8571428571;89539,4285714286;90357;90940;92190;93608;95194;96946;98863;100940;103167;105531;108015;110597;113258;115977;118743;121540;124360;127216;130129;133118;136207;139423;142788;146322;150041;153949;158044;162310;166737;171326;176076;180993;186079;191340;196776;202409;208261;214331;220595;227020;233548;240116;246673;253184;259636;266051;272476;278964;285541;292195;298897;305603;312253;318794;325194;331417;337440;343284;348982;354561;360071;365566;371091;376669;382308;387997
Bermuda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bhutan;4143;4143;4143;4143;4143;4143;4143;4143;4143;4143;4143;4144;4146;4149;4153;4158;4163;4170;4178;4187;4196;4207;4219;4232;4246;4260;4276;4293;4311;4330;4350;4371;4392;4413;4434;4456;4477;4499;4521;4543;4564;4587;4609;4631;4653;4676;4698;4721;4744;4767;4790;4816;4842;4868;4895;4921;4948;4975;5002;5029;5056;5083;5111;5139;5166;5194;5223;5251;5279;5308;5337;5366;5395;5423;5453;5482;5512;5541;5571;5602;5632;5662;5693;5723;5754;5785;5817;5848;5879;5911;5943;5975;6008;6040;6073;6106;6139;6172;6205;6239;6273;6306;6340;6375;6409;6444;6478;6513;6548;6584;6619;6655;6691;6727;6763;6800;6837;6874;6905;6939;6972;7006;7040;7074;7108;7142;7177;7212;7246;7281;7339,61904761905;7398,2380952381;7456,85714285714;7515,47619047619;7574,09523809524;7632,71428571429;7691,33333333333;7749,95238095238;7808,57142857143;7867,19047619048;7925,80952380952;7984,42857142857;8043,04761904762;8101,66666666667;8160,28571428571;8218,90476190476;8277,52380952381;8336,14285714286;8394,7619047619;8453,38095238095;8512;8685;9024;9350;9662;9961;10246;10519;10781;11034;11282;11528;11777;12034;12302;12587;12892;13215;13557;13918;14299;14705;15132;15574;16021;16460;16876;17258;17603;17912;18204;18507;18837;19191;19551;19874;20102;20195;20129;19906;19544;19080;18570;18065;17594;17171;16801;16465;16153;15869;15625;15432;15293;15202;15146;15101;15035;14928;14768;14558;14314;14066;13846;13675;13557;13486
Bolivia;49320;49320;49320;49320;49320;49320;49320;49320;49320;49320;49320;49338;49373;49426;49496;49585;49692;49817;49960;50123;50303;50503;50721;50959;51216;51492;51788;52103;52439;52794;53169;53565;53964;54365;54770;55177;55588;56001;56418;56838;57261;57678;58088;58492;58889;59280;59664;60041;60411;60775;61131;61567;61998;62421;62839;63249;63653;64050;64439;64822;65197;65564;65934;66305;66678;67054;67431;67810;68191;68574;68959;69346;69734;70121;70514;70909;71306;71701;72102;72505;72910;73314;73723;74135;74545;74961;75379;75796;76219;76643;77070;77499;77930;78364;78799;79237;79708;80205;80735;81297;82189;82818;83407;84115;84868;85659;86458;87251;88067;88886;89715;90544;91381;92546;94058;95902;97799;99717;101513;103369;105028;106473;107721;108970;110234;111499;112796;114110;115440;116771;118224,857142857;119678,714285714;121132,571428571;122586,428571429;124040,285714286;125494,142857143;126948;128401,857142857;129855,714285714;131309,571428571;132763,428571429;134217,285714286;135671,142857143;137125;138578,857142857;140032,714285714;141486,571428571;142940,428571429;144394,285714286;145848,142857143;147302;148071;149643;151284;152994;154772;156618;158534;160519;162576;164704;166907;169187;171550;174001;176540;179169;181890;184709;187635;190710;193981;197454;201101;204869;208686;212470;216132;219591;222788;225661;228175;230371;232303;234013;235564;237023;238456;239918;241450;243096;244883;246770;248698;250612;252431;254070;255462;256559;257339;257795;257952;257878;257639;257275;256790;256171;255423;254587;253732;252974;252436;252185;252249;252619;253245
Bosnia and Herzegovina;35111;35111;35111;35111;35111;35111;35111;35111;35111;35111;35111;35126;35156;35200;35260;35335;35425;35531;35652;35789;35943;36112;36297;36499;36717;36952;37204;37472;37758;38061;38381;38719;39060;39403;39750;40100;40453;40809;41168;41531;41896;42265;42637;43012;43391;43773;44158;44547;44939;45334;45733;45849;45963;46003;46113;46222;46329;46359;46462;46563;46663;46683;46778;47187;47519;47934;48272;48694;49119;49465;49897;50248;50687;51031;51476;51926;52291;52736;53107;53570;54038;54407;54882;55268;55741;56132;56622;57108;57509;58011;58418;58928;59443;59860;60383;60806;61337;61767;62306;62851;63291;63844;64282;64844;65410;65868;66443;66896;67480;67952;68546;69141;69624;70232;70846;71341;71964;72592;73106;73749;74398;74923;75582;76247;76785;77460;78006;78693;79385;79944;81303,0476190476;82662,0952380952;84021,1428571429;85380,1904761905;86739,2380952381;88098,2857142857;89457,3333333333;90816,3809523809;92175,4285714286;93534,4761904762;94893,5238095238;96252,5714285714;97611,6190476191;98970,6666666667;100329,714285714;101688,761904762;103047,80952381;104406,857142857;105765,904761905;107124,952380952;108484;107164;104773;102879;101484;100577;100126;100082;100353;100781;101184;101369;101153;100422;99159;97472;95559;93659;91944;90458;89110;87721;86126;84259;82182;80111;78338;77091;76480;76475;76947;77676;78342;78665;78479;77618;75982;73677;70852;67624;64190;60773;57553;54652;52123;49890;47782;45618;43307;40889;38523;36440;34841;33842;33442;33556;34025;34615;35126;35455;35537;35372;35043;34623;34130;33576
Botswana;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5418;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5425;5427;5428;5429;5431;5432;5433;5435;5444;5445;5446;5448;5449;5450;5452;5453;5454;5456;5457;5458;5460;5461;5463;5464;5465;5467;5468;5469;5471;5472;5473;5475;5476;5477;5479;5480;5481;5483;5484;5485;5487;5488;5489;5499;5500;5501;5503;5504;5505;5507;5510;5516;5519;5529;5542;5558;5577;5595;5622;5650;5696;5735;5824;5944;6067;6193;6321;6451;6583;6717;6854;7034;7259;7532;7815;8108;8413;8729;9056;9397;9880,38095238095;10363,7619047619;10847,1428571429;11330,5238095238;11813,9047619048;12297,2857142857;12780,6666666667;13264,0476190476;13747,4285714286;14230,8095238095;14714,1904761905;15197,5714285714;15680,9523809524;16164,3333333333;16647,7142857143;17131,0952380952;17614,4761904762;18097,8571428571;18581,2380952381;19064,619047619;19548;19850;20445;21024;21587;22134;22665;23184;23694;24202;24716;25246;25803;26396;27035;27722;28456;29233;30051;30917;31845;32851;33942;35111;36345;37631;38956;40292;41601;42850;43996;45004;45861;46561;47100;47474;47691;47783;47786;47732;47655;47588;47547;47539;47572;47631;47688;47717;47708;47667;47609;47557;47544;47608;47777;48105;48646;49398;50326;51380;52469;53489;54347;54977;55349;55461
Brazil;158108;159807;161524;163260;165014;166787;168579;170390;172221;174072;176311;178253;180265;182349;184505;186735;189041;191425;193888;196433;199059;201771;204568;207454;210430;213497;216658;219916;223271;226725;230282;233943;237662;241440;245278;249177;253139;257163;261251;265404;269623;273900;278236;282631;287086;291602;296180;300821;305525;310294;315127;320072;325086;330169;335322;340546;345842;351212;356655;362174;367769;373510;379412;385478;391711;398115;404697;411457;418402;425536;432861;440384;448109;455234;463385;471759;481065;489274;499148;509308;518921;569017;578874;588901;598618;609250;620333;630772;642652;655068;668041;681583;695715;710453;725814;741817;752493;763049;773485;783793;793967;804003;813730;834101;854741;875642;896918;917762;940043;962858;986219;1006982;1028487;1050443;1072878;1095778;1119187;1143077;1167274;1192028;1217078;1242350;1267844;1293812;1320312;1347361;1374957;1403116;1431852;1461180;1509073,0952381;1556966,19047619;1604859,28571429;1652752,38095238;1700645,47619048;1748538,57142857;1796431,66666667;1844324,76190476;1892217,85714286;1940110,95238095;1988004,04761905;2035897,14285714;2083790,23809524;2131683,33333333;2179576,42857143;2227469,52380952;2275362,61904762;2323255,71428571;2371148,80952381;2419041,9047619;2466935;2491460;2543762;2602563;2667865;2739452;2816577;2898198;2982318;3065459;3143639;3212806;3269169;3310592;3337322;3351129;3355433;3356047;3358466;3366264;3383166;3411739;3451096;3499596;3556017;3619248;3687836;3758318;3826459;3888245;3938495;3972493;3988773;3987214;3968319;3932966;3883086;3823795;3760925;3699403;3645582;3605199;3579859;3569484;3573261;3589154;3613634;3640388;3663049;3676938;3675807;3654296;3612658;3553372;3479554;3397533;3315366;3240562;3178596;3131818;3099980;3079985;3065506;3051273;3035148;3015949
British Virgin Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brunei;103;103;103;103;103;103;103;103;103;103;103;103;104;104;104;105;105;106;107;108;109;110;112;113;115;117;119;121;123;125;128;130;133;136;139;141;144;147;150;154;157;160;163;167;170;174;177;181;185;189;192;196;200;205;209;213;218;222;227;231;236;241;246;252;258;264;271;277;285;292;300;308;317;324;334;344;354;364;376;388;400;412;425;439;452;467;482;497;513;530;547;565;583;602;621;641;662;684;706;729;752;777;801;827;853;881;910;937;967;999;1028;1058;1081;1099;1118;1137;1156;1175;1195;1215;1235;1255;1274;1293;1311;1330;1353;1376;1398;1421;1483,19047619048;1545,38095238095;1607,57142857143;1669,7619047619;1731,95238095238;1794,14285714286;1856,33333333333;1918,52380952381;1980,71428571429;2042,90476190476;2105,09523809524;2167,28571428571;2229,47619047619;2291,66666666667;2353,85714285714;2416,04761904762;2478,2380952381;2540,42857142857;2602,61904761905;2664,80952380952;2727;2727;2740;2775;2833;2913;3013;3131;3261;3396;3525;3640;3734;3805;3859;3913;3989;4105;4270;4485;4739;5018;5297;5557;5786;5973;6112;6211;6283;6336;6388;6459;6560;6698;6875;7085;7318;7557;7780;7976;8130;8233;8284;8285;8238;8142;7998;7818;7615;7405;7207;7041;6916;6837;6803;6807;6835;6869;6892;6898;6882;6846;6800;6748;6695;6639
Bulgaria;72642;72982;73323;73665;74010;74355;74703;75052;75403;75755;76139;76494;76850;77207;77564;77923;78282;78643;79004;79366;79729;80092;80457;80823;81189;81557;81925;82294;82664;83035;83407;83780;84154;84530;84908;85287;85668;86051;86436;86822;87210;87587;87955;88312;88658;88994;89319;89633;89937;90229;90511;90783;91045;91295;91534;91761;91978;92183;92376;92558;92728;92944;93218;93552;93946;94401;94919;95500;96145;96855;97632;98477;99390;100050;101119;102266;101512;100797;100156;99545;98895;102289;113005;120262;121943;120820;106279;126949;126459;124913;121229;137044;128053;126352;139235;151368;156249;162732;153015;160279;168873;172126;175444;178704;181966;185228;185699;186088;186525;187029;187599;188955;190587;191957;193063;193903;195616;197345;199083;200838;202922;202951;203636;204649;205619;206515;204206;201208;197577;193592;192252,857142857;190913,714285714;189574,571428571;188235,428571429;186896,285714286;185557,142857143;184218;182878,857142857;181539,714285714;180200,571428571;178861,428571429;177522,285714286;176183,142857143;174844;173504,857142857;172165,714285714;170826,571428571;169487,428571429;168148,285714286;166809,142857143;165470;163389;159373;155647;152211;149064;146204;143627;141327;139292;137510;135969;134660;133583;132748;132217;132072;132335;132980;133936;135134;136498;137890;139147;140114;140569;140309;139299;137582;135242;132522;129749;127181;124952;123048;121269;119291;116778;113515;109474;104676;99233;93459;87691;82183;77211;73004;69630;67126;65527;64876;65161;66183;67690;69452;71168;72543;73424;73726;73419;72591;71432;70208;69122;68246;67585
Burkina Faso;69917;69917;69917;69917;69917;69917;69917;69917;70022;70022;70022;70047;70095;70169;70267;70391;70539;70713;70913;71138;71390;71667;71971;72302;72769;73153;73565;74004;74471;74966;75488;76039;76594;77152;77715;78282;78853;79428;80008;80591;81302;81895;82492;83094;83700;84311;84926;85545;86169;86798;87431;88068;88709;89355;90006;90798;91459;92125;92796;93472;94152;94838;95529;96224;96925;97631;98342;99058;99779;100506;101238;102128;102872;103603;104357;105117;105883;106637;107413;108196;108983;109762;110561;111366;112163;112980;113973;114791;115627;116469;117317;118172;119032;119899;120772;121652;122538;123430;124329;125234;126146;127065;128170;129104;130044;130991;131945;132889;133857;134832;135814;136798;137794;138797;139808;140826;141852;142885;144143;145195;146254;147321;148395;149478;150568;151667;152773;153658;154779;155908;158104,047619048;160300,095238095;162496,142857143;164692,19047619;166888,238095238;169084,285714286;171280,333333333;173476,380952381;175672,428571429;177868,476190476;180064,523809524;182260,571428571;184456,619047619;186652,666666667;188848,714285714;191044,761904762;193240,80952381;195436,857142857;197632,904761905;199828,952380952;202025;203416;206185;208928;211644;214336;217013;219687;222384;225145;228020;231061;234319;237830;241603;245587;249697;253877;258117;262465;267039;271988;277433;283440;290011;297107;304643;312467;320436;328458;336425;344251;351958;359601;367236;374955;382871;391106;399771;408935;418659;428968;439799;451080;462762;474797;487141;499734;512507;525389;538354;551404;564530;577680;590762;603613;616059;628028;639520;650589;661370;672052;682851;693935;705389;717237
Burundi;42138;42138;42138;42138;42138;42138;42138;42138;42138;42138;42138;42154;42185;42232;42295;42374;42469;42581;42709;42853;43015;43193;43388;43600;43829;44076;44340;44622;44922;45239;45575;45928;46285;46644;47006;47371;47739;48109;48482;48859;49238;49620;50005;50393;50784;51178;51576;51976;52379;52786;53195;53557;53921;54287;54656;55027;55401;55777;56156;56537;56921;57308;57697;58167;58561;58959;59358;59761;60166;60574;60985;61398;61814;62221;62642;63067;63494;63912;64345;64781;65219;65650;66094;66542;66982;67435;67892;68343;68805;69270;69738;70209;70684;71161;71642;72126;72613;73103;73597;74094;74594;75097;75596;76106;76620;77136;77656;78169;78696;79227;79760;80295;80836;81380;81928;82480;83035;83594;84272;84926;85585;86249;86918;87593;88273;88958;89648;90344;91045;91752;92953,9523809524;94155,9047619048;95357,8571428571;96559,8095238095;97761,7619047619;98963,7142857143;100165,666666667;101367,619047619;102569,571428571;103771,523809524;104973,476190476;106175,428571429;107377,380952381;108579,333333333;109781,285714286;110983,238095238;112185,19047619;113387,142857143;114589,095238095;115791,047619048;116993;117553;118758;120132;121676;123389;125273;127325;129540;131917;134447;137117;139907;142790;145728;148641;151437;154095;156649;159165;161762;164588;167785;171460;175672;180435;185716;191408;197419;203710;210345;217437;224988;232892;240954;248899;256427;263278;269242;274187;277925;280336;281628;282130;282166;282077;282193;282877;284525;287508;292268;299156;308113;318954;331487;345429;360419;375973;391611;406972;421828;436122;449937;463270;475956;487731
Cambodia;99941;99941;99941;99941;99941;99941;99941;99941;99941;99941;99941;99952;99974;100006;100049;100103;100168;100244;100331;100429;100537;100657;100788;100930;101083;101247;101422;101608;101806;102015;102235;102466;102698;102930;103163;103397;103630;103865;104100;104335;104571;104808;105045;105283;105521;105760;105999;106239;106479;106720;106961;107227;107493;107759;108026;108294;108563;108832;109102;109372;109643;109937;110253;110592;110954;111340;111749;112181;112637;113118;113622;114151;114705;115169;115780;116419;117085;117722;118466;119242;120023;120797;121588;122385;123175;123982;124794;125602;126425;127253;128087;128926;129770;130621;131476;132338;133205;134077;134955;135840;136729;137625;138517;139425;140338;141257;142183;143101;144038;144982;145931;146883;147845;148968;150253;151703;153168;154646;156094;157567;159054;160555;162071;163600;165144;166702;168276;169864;171467;173085;175526,476190476;177967,952380952;180409,428571429;182850,904761905;185292,380952381;187733,857142857;190175,333333333;192616,80952381;195058,285714286;197499,761904762;199941,238095238;202382,714285714;204824,19047619;207265,666666667;209707,142857143;212148,619047619;214590,095238095;217031,571428571;219473,047619048;221914,523809524;224356;226216;230047;234100;238374;242866;247566;252451;257482;262596;267711;272736;277566;282105;286281;290105;293644;296938;299957;302593;304317;304475;302942;300021;296342;293296;292568;295257;301841;312135;325293;339924;354204;366612;376361;383001;386591;387959;387852;386548;384263;381133;377280;372891;368228;363421;358503;353546;348749;344426;341117;339384;339427;341219;344570;349014;353903;358541;362389;365190;366959;367963;368662;369361;370069;370615
